"CO_MUNICIPIO";"NO_MUNICIPIO";"CO_SIGLA_ESTADO";"TP_CADASTRO";"TP_PACTO";"TP_ENVIA";"TP_ENVIA_CNES";"TP_CIB_SAS";"TP_PLENO_ORIGEM";"TP_MAC";"NU_POPULACAO";"NU_DENSIDADE";"CMTP_INICIO_MAC"
"354105";"PRATANIA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354130";"PRESIDENTE EPITACIO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"";"032018"
"354140";"PRESIDENTE PRUDENTE";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354150";"PRESIDENTE VENCESLAU";"SP";"S";"S";"1";"S";"S";"S";"S";"";"1";"032018"
"354170";"QUATA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354180";"QUEIROZ";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354210";"RAFARD";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354220";"RANCHARIA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"";"032018"
"354230";"REDENCAO DA SERRA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354260";"REGISTRO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354290";"RIBEIRAO BONITO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354310";"RIBEIRAO CORRENTE";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354350";"RIVERSUL";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354380";"RINOPOLIS";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354410";"RIO GRANDE DA SERRA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354420";"RIOLANDIA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354425";"ROSANA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354430";"ROSEIRA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354460";"SABINO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354470";"SAGRES";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354510";"SALMOURAO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354530";"SALTO DE PIRAPORA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354550";"SANDOVALINA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354600";"SANTA BRANCA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354610";"SANTA CLARA D'OESTE";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354620";"SANTA CRUZ DA CONCEICAO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354630";"SANTA CRUZ DAS PALMEIRAS";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354650";"SANTA ERNESTINA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354660";"SANTA FE DO SUL";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354670";"SANTA GERTRUDES";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354700";"SANTA MARIA DA SERRA";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354750";"SANTA RITA DO PASSA QUATRO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354760";"SANTA ROSA DE VITERBO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354765";"SANTA SALETE";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
"354770";"SANTO ANASTACIO";"SP";"S";"S";"1";"S";"S";"N";"S";"";"1";"032018"
